,list1,list2
0,/questions/53344900/as-of-v7-0-0-beta-55-weve-removed-babels-stage-presets,"As of v7.0.0-beta.55, we've removed Babel's Stage presets"
1,/questions/53344850/javascript-cannot-read-property-length-of-undefined-when-checking-a-variable,Javascript “Cannot read property 'length' of undefined” when checking a variable's length
2,/questions/53344781/node-js-can-i-do-a-post-under-a-router-like-below,node.js: Can I do a POST under a router like below?
3,/questions/53344589/nodejs-how-do-i-input-an-integer-as-hex-to-a-buffer,"NodeJS, how do I input an integer as hex to a buffer"
4,/questions/53344559/add-custom-node-library-project-to-angular-project,Add custom node Library Project to Angular Project
5,/questions/53344470/node-imap-lib-is-throwing-authentication-failed-error,node - imap lib is throwing Authentication failed error
6,/questions/53344467/generate-express-routes-dynamically-from-mongodb-data-which-changes-every-few-mi,Generate Express Routes Dynamically from MongoDB Data which changes every few Minutes
7,/questions/53344461/nodejs-express-display-mysql-blob-as-image-on-html-page,nodejs/express display MySQL blob as image on html page
8,/questions/53344332/express-validator-check-if-email-existed-with-mysql,Express-validator check if email existed with MySQL
9,/questions/53344319/something-wrong-in-update-my-data-via-google-sheets-api,Something wrong in update my data via Google Sheets API
10,/questions/53344289/fetch-from-two-json-files-data-ajax-node,fetch from two json files data ajax node
11,/questions/53344250/emulate-a-mouse,Emulate a mouse
12,/questions/53344249/how-to-get-object-id-of-updated-document-in-mongoose,How to get object id of updated document in mongoose?
13,/questions/53344224/how-to-have-fixed-table-headers-that-are-aligned-with-the-rows-reactjs-nodejs,"How to have fixed table headers that are aligned with the rows? reactjs, nodejs"
14,/questions/53344097/redirect-port-via-iptables-on-aws-ec2-ubuntu-instance,Redirect Port via iptables on AWS EC2 Ubuntu instance
15,/questions/53344042/disconnect-a-websocket-in-a-separate-function,Disconnect a websocket in a separate function
16,/questions/53344019/pdf-generation-using-pdf2json-debugged-using-console-but-didnt-see-values,"pdf generation using pdf2json, debugged using console but didnt see values"
17,/questions/53343989/nodejs-how-to-get-image-dimensions,NodeJS - How to get image dimensions?
18,/questions/53343829/mongoose-query-doesnt-run-when-readystate-is-1,Mongoose query doesn't run when readyState is 1
19,/questions/53343722/use-require-using-ts-in-a-node-express-app,Use require using TS in a node/express app
20,/questions/53343282/how-can-i-unit-test-async-database-calls-without-changing-the-route,How can I unit test async database calls without changing the route?
21,/questions/53343242/procfile-commands-was-not-found-with-dokku-and-node-js,Procfile commands was not found with dokku and node js
22,/questions/53343189/node-js-on-elastic-beanstalk-requests-are-https-but-express-is-served-as-http-i,Node.js on Elastic beanstalk requests are HTTPS but express is served as HTTP. Is this secure?
23,/questions/53343176/how-to-display-image-which-was-uploaded-by-multer-when-query-data-with-mongoose,How to display image which was uploaded by Multer when query data with Mongoose of each different users
24,/questions/53343162/how-create-a-service-in-angular-7-that-use-fs-module-to-list-files-from-director,How create a service in Angular 7 that use FS module to list files from directory?
25,/questions/53343097/react-swipe-card-failed-to-compile,react swipe card failed to compile
26,/questions/53342962/ldapjs-search-return-object,LDAPJS Search return object
27,/questions/53342945/pouchdb-couchdb-conflict-resolution-server-side,PouchDB/CouchDB Conflict Resolution Server Side
28,/questions/53342860/node-js-v8-11-1-eproto-error-when-attempting-to-post-using-https-module,Node.js v8.11.1 EPROTO error when attempting to POST using https module
29,/questions/53342761/can-i-a-pause-a-job-running-in-agenda-npm,Can I a pause a job running in agenda npm
30,/questions/53342649/sails-js-throws-error-unknown-rule-isin,Sails js throws error - Unknown Rule isIn
31,/questions/53342566/using-different-databses-on-same-page,using different databses on same page
32,/questions/53342458/dialogflow-google-assistant-setfollowupevent-after-showing-a-message,Dialogflow - Google Assistant: setFollowupEvent after showing a message
33,/questions/53342369/error-getaddrinfo-enotfound-in-post-call,Error: getaddrinfo ENOTFOUND in post call
34,/questions/53342324/my-alexa-intent-has-no-slot-defined-no-matter-what-i-ask,"My Alexa intent has no slot defined, no matter what I ask"
35,/questions/53342215/node-js-how-to-handle-new-url-parser-deprecation-warning,Node.js: How to handle New URL Parser Deprecation Warning?
36,/questions/53342178/how-to-refer-to-the-another-property-of-the-same-object,How to refer to the another property of the same object [duplicate]
37,/questions/53342136/encode-docx-file-to-base64-in-javascript,Encode docx file to base64 in JavaScript
38,/questions/53342088/serve-xlsx-file-from-mongodb-binary-using-node-js,Serve xlsx file from MongoDB binary using Node.js
39,/questions/53342006/how-to-index-a-non-unique-key-in-mongodb,How to index a non unique key in mongodb?
40,/questions/53341947/check-if-auth-token-its-valid-on-route-enter-angular,Check if auth token it's valid on route enter Angular
41,/questions/53341877/node-js-and-python-together-in-heroku,"Node.js and Python together, in Heroku"
42,/questions/53341789/stubing-a-class-call-from-another-function,Stubing a class call from another function
43,/questions/53341691/npm-install-ng-multiselect-dropdown-without-removing-other-dependencies,Npm install ng-multiselect-dropdown without removing other dependencies
44,/questions/53341687/mongoose-count-embed-array-elements-with-aggregate,Mongoose count embed array elements with aggregate
45,/questions/53341540/how-to-mock-a-function-in-another-function-nodejs,How to mock a function in another function nodejs
46,/questions/53341450/how-to-set-up-https-with-flask-and-node-js,How to set up HTTPS with flask and node.js?
47,/questions/53341171/how-do-i-send-notifications-to-devices-using-firebase-fcm-in-the-vue-js-web-ap,How do I send notifications to devices using Firebase (FCM) in the Vue.js web app?
48,/questions/53341025/convert-angular-framework-application-to-desktop-application-using-electron,Convert Angular Framework Application to desktop application using Electron
49,/questions/53340931/npm-wont-change-version,npm won't change version
50,https://workplace.stackexchange.com/questions/122594/how-can-a-company-recover-after-a-glassdoor-debacle,"
                    How can a company recover after a Glassdoor debacle?
                "
51,https://academia.stackexchange.com/questions/120109/does-country-of-author-influence-the-rejection-of-research-paper,"
                    Does country of author influence the rejection of research paper
                "
52,https://rpg.stackexchange.com/questions/135692/how-to-avoid-railroading-in-sci-fi-campaigns,"
                    How to avoid railroading in sci-fi campaigns
                "
53,https://retrocomputing.stackexchange.com/questions/8289/what-init-system-was-used-in-early-linux-distributions,"
                    What init system was used in early Linux distributions?
                "
54,https://softwareengineering.stackexchange.com/questions/381460/is-it-ever-okay-to-use-lists-in-a-relational-database,"
                    Is it ever okay to use lists in a relational database?
                "
55,https://money.stackexchange.com/questions/101935/im-supposedly-eligible-for-an-inheritance-from-a-distant-relative-offer-appear,"
                    I'm supposedly eligible for an inheritance from a distant relative. Offer appears to be legitimate
                "
56,https://scifi.stackexchange.com/questions/198655/what-prevents-asimovs-robots-from-locking-all-humans-in-padded-cells-for-the-hu,"
                    What prevents Asimov's robots from locking all humans in padded cells for the humans protection?
                "
57,https://stackoverflow.com/questions/53336880/how-to-store-methods-as-function-pointers-in-a-map-container,"
                    How to store methods as function pointers in a map container?
                "
58,https://english.stackexchange.com/questions/472933/is-there-a-proverb-to-express-you-are-too-late-and-its-your-own-fault,"
                    Is there a proverb to express ""You are too late and it's your own fault.""?
                "
59,https://rpg.stackexchange.com/questions/135698/is-this-homebrew-variant-of-true-strike-too-strong-to-be-a-cantrip,"
                    Is this homebrew variant of True Strike too strong to be a cantrip?
                "
60,https://physics.stackexchange.com/questions/441384/is-this-news-article-about-quantum-radar-legit,"
                    Is this news article about quantum radar legit?
                "
61,https://rpg.stackexchange.com/questions/135625/can-i-defeat-strahd-von-zarovich-by-stuffing-him-in-a-bag-of-holding-and-tearing,"
                    Can I defeat Strahd von Zarovich by stuffing him in a bag of holding and tearing it?
                "
62,https://scifi.stackexchange.com/questions/198735/heinlein-works-where-slide-rule-is-used-to-calculate-navigation-in-space,"
                    Heinlein works where slide rule is used to calculate navigation in space
                "
63,https://outdoors.stackexchange.com/questions/21063/can-a-van-be-used-for-sleeping-in-national-park-campgrounds-in-the-us,"
                    Can a van be used for sleeping in National Park campgrounds in the US?
                "
64,https://bicycles.stackexchange.com/questions/58097/restoration-project-help-needed,"
                    Restoration project, help needed
                "
65,https://security.stackexchange.com/questions/197786/public-api-with-authorization-token-is-it-possible-to-protect-the-demo-token,"
                    Public API with authorization token -- is it possible to protect the demo token?
                "
66,https://german.stackexchange.com/questions/47961/whats-the-meaning-of-mut-zum-hut,"
                    What's the meaning of 'Mut zum Hut'?
                "
67,https://worldbuilding.stackexchange.com/questions/130267/how-to-make-slimes-a-formidable-enemy,"
                    How to make slimes a formidable enemy?
                "
68,https://history.stackexchange.com/questions/49401/has-womens-suffrage-ever-decided-an-election,"
                    Has women's suffrage ever decided an election?
                "
69,https://retrocomputing.stackexchange.com/questions/8291/simplest-system-to-create-an-emulator-for,"
                    Simplest system to create an emulator for
                "
70,https://worldbuilding.stackexchange.com/questions/130380/would-low-grade-levitation-be-of-any-use,"
                    Would low-grade levitation be of any use?
                "
71,https://blender.stackexchange.com/questions/122747/how-do-i-straighten-just-the-inner-hole-of-this-mesh,"
                    How do I straighten just the inner hole of this mesh?
                "
72,https://rpg.stackexchange.com/questions/135645/how-would-something-passing-through-an-illusion-of-fog-or-mist-reveal-it-to-be-i,"
                    How would something passing through an illusion of fog or mist reveal it to be illusory?
                "
73,https://english.stackexchange.com/questions/473261/short-blurb-style-wording-for-pizza-made-at-the-establishment,"
                    Short blurb-style wording for ""pizza made at the establishment""
                "
74,/questions/53344900/as-of-v7-0-0-beta-55-weve-removed-babels-stage-presets,"As of v7.0.0-beta.55, we've removed Babel's Stage presets"
75,/questions/53344850/javascript-cannot-read-property-length-of-undefined-when-checking-a-variable,Javascript “Cannot read property 'length' of undefined” when checking a variable's length
76,/questions/53344781/node-js-can-i-do-a-post-under-a-router-like-below,node.js: Can I do a POST under a router like below?
77,/questions/53344589/nodejs-how-do-i-input-an-integer-as-hex-to-a-buffer,"NodeJS, how do I input an integer as hex to a buffer"
78,/questions/53344559/add-custom-node-library-project-to-angular-project,Add custom node Library Project to Angular Project
79,/questions/53344470/node-imap-lib-is-throwing-authentication-failed-error,node - imap lib is throwing Authentication failed error
80,/questions/53344467/generate-express-routes-dynamically-from-mongodb-data-which-changes-every-few-mi,Generate Express Routes Dynamically from MongoDB Data which changes every few Minutes
81,/questions/53344461/nodejs-express-display-mysql-blob-as-image-on-html-page,nodejs/express display MySQL blob as image on html page
82,/questions/53344332/express-validator-check-if-email-existed-with-mysql,Express-validator check if email existed with MySQL
83,/questions/53344319/something-wrong-in-update-my-data-via-google-sheets-api,Something wrong in update my data via Google Sheets API
84,/questions/53344289/fetch-from-two-json-files-data-ajax-node,fetch from two json files data ajax node
85,/questions/53344250/emulate-a-mouse,Emulate a mouse
86,/questions/53344249/how-to-get-object-id-of-updated-document-in-mongoose,How to get object id of updated document in mongoose?
87,/questions/53344224/how-to-have-fixed-table-headers-that-are-aligned-with-the-rows-reactjs-nodejs,"How to have fixed table headers that are aligned with the rows? reactjs, nodejs"
88,/questions/53344097/redirect-port-via-iptables-on-aws-ec2-ubuntu-instance,Redirect Port via iptables on AWS EC2 Ubuntu instance
89,/questions/53344042/disconnect-a-websocket-in-a-separate-function,Disconnect a websocket in a separate function
90,/questions/53344019/pdf-generation-using-pdf2json-debugged-using-console-but-didnt-see-values,"pdf generation using pdf2json, debugged using console but didnt see values"
91,/questions/53343989/nodejs-how-to-get-image-dimensions,NodeJS - How to get image dimensions?
92,/questions/53343829/mongoose-query-doesnt-run-when-readystate-is-1,Mongoose query doesn't run when readyState is 1
93,/questions/53343722/use-require-using-ts-in-a-node-express-app,Use require using TS in a node/express app
94,/questions/53343282/how-can-i-unit-test-async-database-calls-without-changing-the-route,How can I unit test async database calls without changing the route?
95,/questions/53343242/procfile-commands-was-not-found-with-dokku-and-node-js,Procfile commands was not found with dokku and node js
